волыночка	волынка
строчечка	строчка
струнка	струна
субботочка	суббота
сумбурненько	сумбурно
суховато	сухо
сухонько	сухо
сучочек	сучок
схваточка	схватка
табакерочка	табакерка
тазик	таз
талантище	талант
талантик	талант
талисманчик	талисман
тарталеточка	тарталетка
Антоша	Антон
Антошка	Антон
апельсинчик	апельсин
аргументик	аргумент
архивчик	архив
ассистенточка	ассистентка
аэродромчик	аэродром
бабулька	бабуля
бабуленька	бабуля
бабулечка	бабуля
балаганчик	балаган
бантик	бант
барчик	бар
бедняжечка	бедняга
безумненький	безумный
белесоватенький	белесоватый
беленький	белый
беловатый	белый
записочка	записка
заповедничек	заповедник
зарубочка	зарубка
Зорька	заря
заставочка	заставка
званьице	звание
землетрясеньице	землетрясение
землячок	земляк
земляничка	земляника
зимушка	зима
презло	зло
злючка	злюка
значок	знак
знаньице	знание
зубище	зуб
зубик	зуб
зубчик	зуб
зятек	зять
ивушка	ива
избенка	изба
избушка	изба
непонятненько	непонятно
непослушненький	непослушный
пренепременно	непременно
неспортивненький	неспортивный
нехиленький	нехилый
Никитка	Никита
Никитушка	Никита
никудышненький	никудышный
нимфоманочка	нимфоманка
поступочек	поступок
потенциальчик	потенциал
поточек	поток
пошленько	пошло
пошловатенько	пошло
пошловато	пошло
превеселенький	превеселый
прелестненький	прелестный
пресненький	пресный
пресноватый	пресный
преступничек	преступник
пригорочек	пригорок
телятинка	телятина
темнехонько	темно
темнешенько	темно
темновато	темно
темненько	темно
темноватый	темный
темненький	темный
терактик	теракт
терпеньице	терпение
Тимошка	Тимофей
Тимоша	Тимофей
Тимоха	Тимофей
типчик	тип
титечка	титька
потихонечку	тихо
потихоньку	тихо
товарец	товар
Толенька	Толя
Толька	Толя
Толечка	Толя
Тонечка	Тоня
Тоничка	Тоня
топоточек	топот
топоток	топот
тощенький	тощий
тощеватый	тощий
тростиночка	тростинка
тряпочка	тряпка
туалетик	туалет
туземочка	туземка
тускловатенький	тускловатый
туфелька	туфля
тухленький	тухлый
тухловатый	тухлый
тухлятинка	тухлятина
тучка	туча
тюленьчик	тюлень
тяжковато	тяжко
убогонько	убого
увлеченьице	увлечение
угольничек	угольник
удаленький	удалый
удобненько	удобно
Агнессочка	Агнесса
аджичка	аджика
Алисочка	Алиса
альбомчик	альбом
амазоночка	амазонка
амбарчик	амбар
амулетик	амулет
журнальчик	журнал
заварочка	заварка
завещаньице	завещание
завитушечка	завитушка
загадочка	загадка
загородочка	загородка
заданьице	задание
задержаньице	задержание
займище	займ
заковырочка	заковырка
заколочка	заколка
законопроектик	законопроект
заливчик	залив
новиночка	новинка
новехонький	новый
новешенький	новый
новенький	новый
нолик	ноль
обзорчик	обзор
обморочек	обморок
обмылочек	обмылок
ободочек	ободок
оборотик	оборот
обрывочек	обрывок
обтяжечка	обтяжка
приличненько	прилично
приманочка	приманка
примерчик	пример
принцессочка	принцесса
приоритетик	приоритет
прислужничек	прислужник
приступочка	приступка
проводничка	проводница
продолженьице	продолжение
промашечка	промашка
ужасненько	ужасно
ужасненький	ужасный
ужимочка	ужимка
уздечка	узда
узкоглазенький	узкоглазый
татарочка	татарка
тележка	телега
телеграфисточка	телеграфистка
аппетитненький	аппетитный
Ариночка	Арина
аристократишка	аристократ
армяночка	армянка
Артемушка	Артем
артемчик	Артем
аскетичненько	аскетично
аспиринчик	аспирин
аутентичненько	аутентично
базарчик	базар
балалаечка	балалайка
балкончик	балкон
балычок	балык
бандюга	бандит
бандюган	бандит
бандюк	бандит
барханчик	бархан
батальончик	батальон
батянька	батя
батенька	батя
батька	батя
батюшка	батя
бедрышко	бедро
безволосенький	безволосый
белесенький	белесый
белесоватый	белесый
бензинчик	бензин
зарядик	заряд
зарядочка	зарядка
защитка	защита
заявленьице	заявление
здоровячок	здоровяк
зелененький	зеленый
зеленоватый	зеленый
зернышко	зерно
злорадненький	злорадный
змейка	змея
змеюка	змея
золотишко	золото
золотце	золото
зонтичек	зонтик
зубастенький	зубастый
зубочисточка	зубочистка
Ванечка	Иван
Иванушка	Иван
Ивашка	Иван
Ванюша	Иван
иголочка	иголка
игривенький	игривый
игрушечка	игрушка
идеальчик	идеал
избранничек	избранник
незаметненько	незаметно
некультурненько	некультурно
Нелька	Неля
немчик	немец
необходименький	необходимый
неприметненько	неприметно
непринужденненько	непринужденно
нестыковочка	нестыковка
неудобненько	неудобно
похабненький	похабный
походочка	походка
прадедушка	прадед
прегаденький	прегадкий
прекрасненько	прекрасно
прелестненько	прелестно
препаратик	препарат
препоганенький	препоганый
пресненько	пресно
пресноватенько	пресно
приговорчик	приговор
признаньице	признание
прилавочек	прилавок
темпик	темп
темечко	темя
тенорочек	тенор
терпковатый	терпкий
тетрадочка	тетрадь
тетрадка	тетрадь
толпища	толпа
томик	том
претонюсенький	тонкий
претоненький	тонкий
тоненький	тонкий
тонюсенький	тонкий
тонковатый	тонкий
точечка	точка
траншейка	траншея
трехдюймовочка	трехдюймовка
трошечки	трошки
троячок	трояк
трупик	труп
тумблерочек	тумблер
турчаночка	турчанка
тускловато	тускло
тускленько	тускло
тюбетеечка	тюбетейка
увеличеньице	увеличение
удавочка	удавка
азиаточка	азиатка
Аидочка	Аида
актеришка	актер
американочка	американка
Андрейка	Андрей
Андрюха	Андрей
антилопка	антилопа
жердочка	жердь
жертвочка	жертва
жестконько	жестко
жестковато	жестко
жестяночка	жестянка
жидовочка	жидовка
жилетик	жилет
жилеточка	жилетка
жопастенький	жопастый
заведеньице	заведение
загашничек	загашник
заголовочек	заголовок
загончик	загон
задок	зад
задастенький	задастый
заклинаньице	заклинание
занавесочка	занавеска
занятьице	занятие
норушка	нора
нудненький	нудный
нудноватый	нудный
Нюрочка	Нюра
образочек	образок
обрезочек	обрезок
обуточка	обутка
общинка	община
объятьице	объятие
овсяночка	овсянка
примитивненько	примитивно
пристеночек	пристенок
причесочка	прическа
приятненько	приятно
проблемочка	проблема
проблемка	проблема
провинциалочка	провинциалка
прогнозик	прогноз
прогулочка	прогулка
продуктик	продукт
прожилочка	прожилка
прозрачненький	прозрачный
ужик	уж
указочка	указка
улиточка	улитка
упоминаньице	упоминание
условненько	условно
усмешечка	усмешка
уточка	утка
мгновеньице	участие
участочек	участок
учебничек	учебник
ученичок	ученик
ушастенький	ушастый
фальшивенький	фальшивый
странненький	странный
странноватый	странный
стремненько	стремно
стремновато	стремно
студенточка	студентка
стыдливенько	стыдливо
сугробик	сугроб
сучка	сука
сундучок	сундук
сушечка	сушка
сферочка	сфера
съемочка	съемка
сыночек	сынок
таблеточка	таблетка
тайфунчик	тайфун
такусенький	такой
таракашка	таракан
тараканчик	таракан
тараканище	таракан
тарифчик	тариф
татуировочка	татуировка
архетипичненько	архетипично
архитектурка	архитектура
бабеночка	бабенка
багетик	багет
багульничек	багульник
банальненько	банально
барахлишко	барахло
барьерчик	барьер
бассейнчик	бассейн
бассейник	бассейн
бедняжечка	бедняжка
безделушечка	безделушка
белоголовенький	белоголовый
заправочка	заправка
запущененько	запущено
затейка	затея
заумненько	заумно
зайка	заяц
зайчик	заяц
зайчишка	заяц
зайчище	заяц
заинька	заяц
Зиночка	Зина
Зинуля	Зина
Зинка	Зина
зрачечек	зрачок
зреньице	зрение
Изабеллочка	Изабелла
недурненько	недурно
незаметненький	незаметный
немножко	немного
немножечко	немного
непростенький	непростой
нехорошенький	нехороший
Николашка	Николай
Николенька	Николай
поступленьице	поступление
посудка	посуда
потаскушка	потаскуха
потасовочка	потасовка
предупрежденьице	предупреждение
преподленько	преподло
прибавочка	прибавка
призначек	признак
приказаньице	приказание
тельняшечка	тельняшка
темнотища	темнота
тесноватенько	тесновато
тихонечко	тихонько
толстоморденький	толстомордый
толстячок	толстяк
топорик	топор
топчанчик	топчан
травка	трава
травушка	трава
трамвайчик	трамвай
троечка	тройка
тропиночка	тропинка
трошки	трохи
туговато	туго
тупичок	тупик
тупоморденький	тупомордый
тупорыленький	тупорылый
турнирчик	турнир
тщедушненький	тщедушный
тысчонка	тысяча
тяжеленько	тяжело
тяжелехонько	тяжело
тяжелешенько	тяжело
тяжеловато	тяжело
тяжеловатенько	тяжеловато
уголок	угол
уголовничек	уголовник
удивленьице	удивление
Авдотьюшка	Авдотья
автомобильчик	автомобиль
аккуратненький	аккуратный
активчик	актив
актуальненько	актуально
акцентик	акцент
алмазик	алмаз
ангелок	ангел
ангелочек	ангел
Ангелиночка	Ангелина
Аннушка	Анна
Анночка	Анна
живописненько	живописно
жидочек	жид
жидковатый	жидкий
жиденький	жидкий
жутенький	жуткий
жутковатый	жуткий
жутковатенький	жутковатый
заботушка	забота
завалященький	завалящий
зазнобушка	зазноба
закалочка	закалка
закатик	закат
закорючка	закорюка
закорючечка	закорючка
закусочка	закуска
закуточек	закуток
запашок	запах
номерочек	номерок
носатенький	носатый
носочек	носок
оберточка	обертка
обещаньице	обещание
обильненько	обильно
овражек	овраг
овечка	овца
огарочек	огарок
оговорочка	оговорка
огонечек	огонек
примененьице	применение
примитивненький	примитивный
припадочек	припадок
приписочка	приписка
прицепчик	прицеп
проверочка	проверка
проворненько	проворно
происхожденьице	происхождение
проклятьице	проклятие
проливчик	пролив
узенько	узко
узковато	узко
преузко	узко
укрепленьице	укрепление
укрытьице	укрытие
умишко	ум
умище	ум
умничка	умница
уморушка	умора
упорчик	упор
усадебка	усадьба
уховерточка	уховертка
участничек	участник
фальшивочка	фальшивка
филиальчик	филиал
фифочка	фифа
флигелечек	флигель
бедненький	бедный
бедноватый	бедный
бежевенький	бежевый
заразочка	зараза
заслоночка	заслонка
заступничек	заступник
затравочка	затравка
зелененько	зелено
злорадненько	злорадно
злющенький	злющий
значеньице	значение
Зосечка	Зося
Идочка	Ида
идейка	идея
незадачка	незадача
немочка	немка
ненаглядненький	ненаглядный
необычненько	необычно
пренеприятно	неприятно
неприятненько	неприятно
неприятненький	неприятный
нестабильненько	нестабильно
неустоечка	неустойка
низенький	низкий
низковатый	низкий
никакошенький	никакой
никакусенький	никакой
постненький	постный
построечка	постройка
похабненько	похабно
пошленький	пошлый
пошловатый	пошлый
поясочек	поясок
преаккуратненький	преаккуратный
предбанничек	предбанник
предельчик	предел
предложеньице	предложение
прекрасненький	прекрасный
преспокойненько	преспокойно
преступленьице	преступление
придумочка	придумка
прикосновеньице	прикосновение
приливчик	прилив
телогреечка	телогрейка
тепловатый	теплый
тепленький	теплый
теченьице	течение
толстовочка	толстовка
тонехонько	тонко
тонюсенько	тонко
тоненько	тонко
тонешенько	тонко
торбочка	торба
торгаш	торговец
травничек	травник
трактирчик	трактир
трамплинчик	трамплин
тренажерчик	тренажер
трешечка	трешка
трещинка	трещина
тридцатничек	тридцатник
тропка	тропа
тропинка	тропа
тропочка	тропа
тростинка	тростина
тросточка	трость
трубочка	трубка
трусливенький	трусливый
трусоватый	трусливый
туповатенько	туповато
туповатенький	туповатый
туповатый	тупой
тупенький	тупой
турбинка	турбина
тюряга	тюрьма
убогонький	убогий
удавчик	удав
Агаточка	Агата
агентик	агент
адресочек	адрес
адресок	адрес
Алиночка	Алина
Аллочка	Алла
англичаночка	англичанка
Андрюшка	Андрюша
Андрюшенька	Андрюша
Андрюшечка	Андрюша
жестковатый	жесткий
животик	живот
жиденько	жидко
жидковато	жидко
прежирно	жирно
жирненько	жирно
жирновато	жирно
жирнешенько	жирно
жирненький	жирный
жирноватый	жирный
презабавно	забавно
забавненько	забавно
забастовочка	забастовка
загвоздочка	загвоздка
загореленький	загорелый
заготовочка	заготовка
задачка	задача
закоулочек	закоулок
зальчик	зал
занятненько	занятно
презанятно	занятно
ничуточки	ничуть
ножовочка	ножовка
нормальненько	нормально
носилочки	носилки
нужненький	нужный
нянька	нянька
обидненько	обидно
облегченьице	облегчение
обломочек	обломок
образованьице	образование
обрубочек	обрубок
обстрельчик	обстрел
общежитьице	общежитие
объявленьице	объявление
объясненьице	объяснение
примерочка	примерка
пристойненько	пристойно
проволочка	проволока
проворненький	проворный
прожорливенький	прожорливый
прокуратурка	прокуратура
указаньице	указание
укольчик	укол
украшеньице	украшение
укромненький	укромный
улочка	улица
уныленько	уныло
упаковочка	упаковка
утюжок	утюг
уютненький	уютный
файлик	файл
фиалочка	фиалка
фонтанчик	фонтан
векселечек	вексель
вертлявенький	вертлявый
вершочек	вершок
вечерок	вечер
Виолетточка	Виолетта
Виталька	Виталий
вишенка	вишня
возраженьице	возражение
войнушка	война
волейбольчик	волейбол
измененьице	изменение
изображеньице	изображение
инициативочка	инициатива
инструментик	инструмент
инсценировочка	инсценировка
интенсивненько	интенсивно
искорка	искра
источничек	источник
исчезновеньице	исчезновение
итальяночка	итальянка
казачек	казак
калиночка	калинка
каминчик	камин
огуречик	огурец
огурчик	огурец
одежонка	одежда
одноглазенький	одноглазый
Олечка	Оля
Олька	Оля
Оленька	Оля
ориентировочка	ориентировка
осадочек	осадок
осаночка	осанка
осинка	осина
осторожненький	осторожный
простоватенький	простоватый
просьбочка	просьба
противничек	противник
противненький	противный
процедурненько	процедурно
проявленьице	проявление
псинка	псина
пташечка	пташка
пузырик	пузырь
пулька	пуля
пунктик	пункт
пустоватый	пустой
пустенький	пустой
путевочка	путевка
пухлявенький	пухлявый
пушистенький	пушистый
пушечка	пушка
пчелочка	пчелка
пылиночка	пылинка
равномерненько	равномерно
радиоприемничек	радиоприемник
хамончик	хамон
херовенький	херовый
хитровато	хитро
хитренько	хитро
прехитро	хитро
хищненько	хищно
хористочка	хористка
хорошенечко	хорошо
хорошенько	хорошо
хреновенько	хреново
хреновато	хреново
хуевенько	хуево
хуторок	хутор
цветастенький	цветастый
цилиндрик	цилиндр
циферка	цифра
частушечка	частушка
чахловатый	чахлый
чахленький	чахлый
чемоданчик	чемодан
чердачок	чердак
черемушка	черемуха
черноволосенький	черноволосый
черноглазенький	черноглазый
черноватый	черный
черненький	черный
чертежик	чертеж
чертовочка	чертовка
чертовщинка	чертовщина
чесночок	чеснок
четверочка	четверка
чистенько	чисто
чистехонько	чисто
чистешенько	чисто
чистовичок	чистовик
чистенький	чистый
беспечненько	беспечно
благополучненько	благополучно
благородненький	благородный
блиночек	блин
блинчик	блин
болтик	болт
больненько	больно
больновато	больно
пребольно	больно
большевичок	большевик
брезгливенько	брезгливо
брикетик	брикет
бродяжка	бродяга
брошка	брошь
бубличек	бублик
буроватенький	буроватый
буряточка	бурятка
былиночка	былинка
быстроглазенький	быстроглазый
быстренький	быстрый
вагончик	вагон
вареньице	варенье
капелька	капля
Каролиночка	Каролина
катерок	катер
катерочек	катер
Катеринушка	Катерина
Катериночка	Катерина
катушечка	катушка
Катюшенька	Катюша
Катюшечка	Катюша
кашка	каша
кефирчик	кефир
кипятильничек	кипятильник
Кирюша	Кирилл
Кирюха	Кирилл
Кирюшка	Кирилл
кладочка	кладка
кларочка	Клара
клевенько	клево
клетушка	клетка
клеточка	клетка
клиночек	клинок
клюковка	клюква
коготочек	коготок
коготок	коготок
козочка	коза
кокосик	кокос
коллективчик	коллектив
колосок	колос
колыбелечка	колыбелька
Коленька	Коля
Колюнчик	Коля
Колька	Коля
колясочка	коляска
компрессик	компресс
приоткрытый	открытый
отраженьице	отражение
отстойненько	отстойно
оттяжечка	оттяжка
охранничек	охранник
оценочка	оценка
очаровашечка	очаровашка
очертаньице	очертание
палочка	палка
пальтишко	пальто
пампушечка	пампушка
панталончики	панталоны
папочка	папка
радисточка	радистка
разбойничек	разбойник
разводик	развод
разгрузочка	разгрузка
размерчик	размер
разрядик	разряд
ракеточка	ракетка
раскладушечка	раскладушка
распальцовочка	распальцовка
шейка	шея
шикарненько	шикарно
шинелька	шинель
шнапсик	шнапс
шотландочка	шотландка
шпаргалочка	шпаргалка
шторочка	штора
шторка	штора
шумок	шум
эгоисточка	эгоистка
фигуристочка	фигуристка
фирмочка	фирма
флажочек	флажок
флакончик	флакон
ведьмочка	ведьма
веничек	веник
веселенький	веселый
вещичка	вещь
вещица	вещь
взрывчаточка	взрывчатка
взяточка	взятка
винзаводик	винзавод
винтажненько	винтажно
влажненький	влажный
влажноватый	влажный
внучок	внук
внучоночек	внук
внучек	внук
Вовчик	Вова
водица	вода
водичка	вода
войлочек	войлок
вокзальчик	вокзал
воланчик	волан
волосинка	волосина
изюминка	изюмина
изящненько	изящно
Инночка	Инна
иностраночка	иностранка
интересненький	интересный
интерьерчик	интерьер
интрижка	интрига
инцидентик	инцидент
Иудушка	Иуда
каемочка	каемка
казармочка	казарма
каламбурчик	каламбур
оградка	ограда
однообразненько	однообразно
окантовочка	окантовка
Олежка	Олег
опасеньице	опасение
опасненько	опасно
оперативненький	оперативный
опрятненько	опрятно
орешек	орех
осинничек	осинник
осколочек	осколок
проступочек	проступок
простынка	простыня
простыночка	простыня
процессик	процесс
прощаньице	прощание
прудик	пруд
прудочек	пруд
прудок	пруд
пружинка	пружина
прыжочек	прыжок
пряничек	пряник
пуделек	пудель
пузыречек	пузырек
пулеметик	пулемет
пышненький	пышный
пьянешенький	пьяный
бухой	пьяный
пьяноватый	пьяный
пьянехонький	пьяный
пьяненький	пьяный
пьяноватенький	пьяный
пяточка	пятка
работка	работа
работенка	работа
фразочка	фраза
Фридочка	Фрида
халявненько	халявно
Ханночка	Ханна
херувимчик	херувим
хлебушек	хлеб
хлюпенький	хлюпкий
хохоток	хохот
хохоточек	хохот
храмчик	храм
цепочка	цепь
циновочка	циновка
цыганочка	цыганка
червячок	червяк
червяк	червячок
черепашка	черепаха
четвертиночка	четвертинка
чечеточка	чечетка
чувачок	чувак
чудесненько	чудесно
чудненько	чудно
чумазенький	чумазый
шавочка	шавка
шайбочка	шайба
шаечка	шайка
шатеночка	шатенка
шашечка	шашка
шепоточек	шепоток
шестереночка	шестеренка
шестерочка	шестерка
шестеренка	шестерня
бережненько	бережно
бестолковенький	бестолковый
бидончик	бидон
блаженненький	блаженный
блочок	блок
боженька	бог
бомбочка	бомба
бортик	борт
бочечка	бочка
брошечка	брошка
брюхатенький	брюхатый
буквочка	буква
буковка	буква
буклетик	буклет
булавочка	булавка
бурдючок	бурдюк
буроватый	бурый
буренький	бурый
бухточка	бухта
в обнимочку	в обнимку
вазончик	вазон
валеночек	валенок
валокординчик	валокордин
ванночка	ванна
Василинка	Василина
Василисушка	Василиса
капусточка	капуста
капустка	капуста
карабинчик	карабин
Катенька	Катя
Катька	Катя
Катюшка	Катя
кителечек	китель
кладовочка	кладовка
классненько	классно
клепочка	клепка
книжечка	книга
книжка	книга
кнутик	кнут
кобелек	кобель
ковшик	ковш
ковшичек	ковшик
козлятинка	козлятина
колонисточка	колонистка
кольчужка	кольчуга
командировочка	командировка
комарик	комар
компотик	компот
комфортненько	комфортно
контактик	контакт
отдельчик	отдел
отрезочек	отрезок
отросточек	отросток
отставочка	отставка
охотненько	охотно
пальчик	палец
парочка	пара
парадик	парад
развлеченьице	развлечение
распасовочка	распасовка
распечаточка	распечатка
расписочка	расписка
распрекрасненько	распрекрасно
рассказик	рассказ
расстановочка	расстановка
электрончик	электрон
элитненько	элитно
Эльвирочка	Эльвира
энергичненько	энергично
южок	юг
ярковатый	яркий
ясненько	ясно
яснешенько	ясно
яснехонько	ясно
ясненький	ясный
яснехонький	ясный
яснешенький	ясный
шкатулочка	шкатулка
шматочек	шматок
шнурочек	шнурок
Шурка	Шура
Шурочка	Шура
Шурочка	Шура
шурупчик	шуруп
щепоточка	щепотка
щеточка	щетка
щупленький	щуплый
щупловатый	щуплый
экземплярчик	экземпляр
экзотичненько	экзотично
эзотичненько	экзотично
яблонька	яблоня
ягненочек	ягненок
ядрышко	ядро
янтарчик	янтарь
ястребок	ястреб
ящичек	ящик
неосторожненько	неосторожно
непорядочек	непорядок
неприглядненько	неприглядно
нехуденький	нехудой
низенько	низко
низковато	низко
низехонько	низко
низешенько	низко
походик	поход
поэтессочка	поэтесса
правдочка	правда
праздничек	праздник
представленьице	представление
презреньице	презрение
привальчик	привал
приготовленьице	приготовление
приемничек	приемник
призик	приз
терьерчик	терьер
тесноватенький	тесноватый
тесненький	тесный
тесноватый	тесный
толстожопенький	толстожопый
толстушечка	толстушка
точненько	точно
точнешенько	точно
точнехонько	точно
травмочка	травма
трезвенький	трезвый
трезвехонький	трезвый
тросик	трос
трусики	трусы
туничка	туника
тупоносенький	тупоносый
туристочка	туристка
тухловато	тухло
тухленько	тухло
тушка	туша
тяжеленький	тяжелый
тяжеловатый	тяжелый
тяжелехонький	тяжелый
тяпочка	тяпка
убежденьице	убеждение
убыточек	убыток
уголек	уголь
угрозочка	угроза
ударчик	удар
удачненький	удачный
автоматик	автомат
Адочка	Ада
актик	акт
Алевтиночка	Алевтина
аллейка	аллея
аловатый	алый
аленький	алый
альпинисточка	альпинистка
Аниточка	Анита
жеребчик	жеребец
прежестоко	жестоко
жетончик	жетон
Жозефиночка	Жозефина
Жоржеточка	Жоржетта
заботливенький	заботливый
завязочка	завязка
загрузочка	загрузка
закладочка	закладка
замашечка	замашка
заметненько	заметно
ножичек	нож
ночка	ночь
ноченька	ночь
обследованьице	обследование
объектик	объект
обыкновенненький	обыкновенный
огонек	огонь
присосочка	присоска
приставочка	приставка
пристроечка	пристройка
присыпочка	присыпка
притирочка	притирка
притончик	притон
причальчик	причал
приютик	приют
пробежечка	пробежка
провальчик	провал
проемчик	проем
удостовереньице	удостоверение
узелочек	узелок
уловочка	уловка
Улька	Уля
умильненький	умильный
умненько	умно
умнешенько	умно
умнехонько	умно
ухваточка	ухватка
ушко	ухо
фальшбортик	фальшборт
фартучек	фартук
фасончик	фасон
фельетончик	фельетон
феминисточка	феминистка
Филька	Филя
фитюлечка	фитюлька
фончик	фон
формочка	форма
формированьице	формирование
ведрышко	ведро
ведерко	ведро
великанчик	великан
верстачок	верстак
ветрище	ветер
ветерок	ветер
веточка	ветка
вечериночка	вечеринка
Витюша	Виктор
винтовочка	винтовка
висюлечка	висюлька
вишневенький	вишневый
Вовочка	Владимир
Владька	Владимир
Вова	Владимир
Вован	Владимир
Вовка	Владимир
вмятинка	вмятина
водила	водитель
водочка	водка
водяра	водка
водоворотик	водоворот
возбужденьице	возбуждение
возвращеньице	возвращение
волжаночка	волжанка
волоконце	волокно
Исусик	Иисус
индианочка	индианка
интересик	интерес
ирландочка	ирландка
испаночка	испанка
каблучок	каблук
кавалеристочка	кавалеристка
кадрик	кадр
Оксаночка	Оксана
опасненький	опасный
оперативничек	оперативник
описаньице	описание
оправданьице	оправдание
опросик	опрос
опрятненький	опрятный
ослик	осел
оскорбленьице	оскорбление
остренько	остро
острехонько	остро
островочек	островок
отверточка	отвертка
отвращеньице	отвращение
прорвочка	прорва
проспектик	проспект
прохладненько	прохладно
прохладновато	прохладно
прохладноватый	прохладный
прохладненький	прохладный
пуговичка	пуговица
пупочек	пупок
пурпурненький	пурпурный
путаночка	путана
пышечка	пышка
пьяненько	пьяно
пьянехонько	пьяно
фотончик	фотон
фуражечка	фуражка
халтурка	халтура
хворостиночка	хворостина
хворостинка	хворостина
хероватенько	херовато
хитроватый	хитрый
хитренький	хитрый
хитроватенький	хитрый
хлыстик	хлыст
хоботок	хобот
холмик	холм
хохлушечка	хохлушка
хрипловатый	хриплый
худышечка	худышка
цветочек	цветок
чаек	чай
чаечек	чай
черепочек	черепок
черновичок	черновик
четвертачок	четвертак
четырехугольничек	четырехугольник
членик	член
чумазенько	чумазо
шажочек	шажок
шампуньчик	шампунь
шампусик	шампунь
шапчонка	шапка
шапочка	шапка
шахточка	шахта
шершавенький	шершавый
бесцветненько	бесцветно
бечевочка	бечевка
бледноватенький	бледноватый
блендочка	бленда
блесточка	блестка
блиндажик	блиндаж
богатенько	богато
пребогато	богато
боязливенький	боязливый
бритвочка	бритва
бросочек	бросок
брусничка	брусника
брюшко	брюхо
бугорок	бугор
букетик	букет
булыжничек	булыжник
бульбочка	бульба
бульварчик	бульвар
бумажничек	бумажник
бурунчик	бурун
бусинка	бусина
бутончик	бутон
бюстик	бюст
вазочка	ваза
валерьяночка	валерьянка
канатик	канат
касторочка	касторка
квартальчик	квартал
квиточек	квиток
кисонька	киса
киска	киса
кисловатый	кислый
кисленький	кислый
кисточка	кисть
кишлачок	кишлак
Клавочка	Клава
Клавушка	Клава
клинышек	клин
клювик	клюв
коврик	ковер
коготок	коготь
колышек	кол
колготочки	колготки
коленочка	коленка
колоночка	колонка
комбинезончик	комбинезон
коммунисточка	коммунистка
компактненько	компактно
компашка	компания
комплектик	комплект
компроматик	компромат
комсомолочка	комсомолка
конторка	контора
открыточка	открытка
отставничек	отставник
оттеночек	оттенок
отшельничек	отшельник
официантик	официант
оформленьице	оформление
охапочка	охапка
очерединка	очередь
очередища	очередь
павильончик	павильон
павлинчик	павлин
памятничек	памятник
панелька	панель
панихидка	панихида
папироска	папироса
папиросочка	папироса
радостишка	радость
раздраженьице	раздражение
разработочка	разработка
райончик	район
рамочка	рамка
раскатик	раскат
рассольничек	рассольник
ширмочка	ширма
шкаф	шкаф
шкафчик	шкаф
шлюпчонка	шлюпка
шлюпочка	шлюпка
штампик	штамп
штормик	шторм
штришок	штрих
штучка	штука
штукенция	штука
штуковинка	штуковина
штурвальчик	штурвал
шубка	шуба
шубейка	шуба
шубенка	шуба
шумноватый	шумный
шустренько	шустро
